Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"architecture diagram","closed-ended infinite answer set visual","0.22","0.17","0.84","0.19","0.14","0.81","0.79","0.7","0.91"
"architecture diagram","closed-ended infinite answer set non-visual","0.34","0.25","1.0","0.34","0.25","1.0","0.81","0.72","0.95"
"architecture diagram","closed-ended finite answer set binary visual","0.08","0.04","0.71","0.08","0.04","0.71","0.75","0.64","0.89"
"architecture diagram","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"architecture diagram","closed-ended finite answer set non-binary visual","0.13","0.07","0.86","0.13","0.07","0.86","0.76","0.65","0.9"
"architecture diagram","closed-ended finite answer set non-binary non-visual","0.14","0.08","0.64","0.14","0.08","0.64","0.76","0.67","0.89"
"architecture diagram","unanswerable","0.92","0.86","1.0","0.92","0.86","1.0","0.93","0.88","0.99"


Figure Type: box plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"box plot","closed-ended infinite answer set visual","0.17","0.09","1.0","0.17","0.09","1.0","0.78","0.67","0.92"
"box plot","closed-ended infinite answer set non-visual","0.33","0.2","1.0","0.33","0.2","1.0","0.8","0.69","0.94"
"box plot","closed-ended finite answer set binary visual","0.1","0.05","1.0","0.1","0.05","1.0","0.74","0.64","0.89"
"box plot","closed-ended finite answer set binary non-visual","0.06","0.03","0.5","0.06","0.03","0.5","0.75","0.64","0.89"
"box plot","closed-ended finite answer set non-binary visual","0.06","0.03","0.5","0.06","0.03","0.5","0.75","0.64","0.89"
"box plot","closed-ended finite answer set non-binary non-visual","0.05","0.02","0.5","0.05","0.02","0.5","0.75","0.64","0.89"
"box plot","unanswerable","0.89","0.81","1.0","0.89","0.81","1.0","0.91","0.85","0.99"


Figure Type: neural networks
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"neural networks","closed-ended infinite answer set visual","0.08","0.04","0.71","0.08","0.04","0.71","0.75","0.64","0.89"
"neural networks","closed-ended infinite answer set non-visual","0.12","0.07","0.57","0.12","0.07","0.57","0.77","0.67","0.9"
"neural networks","closed-ended finite answer set binary visual","0.03","0.02","0.29","0.03","0.02","0.29","0.75","0.64","0.89"
"neural networks","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"neural networks","closed-ended finite answer set non-binary visual","0.05","0.03","0.43","0.05","0.03","0.43","0.75","0.65","0.89"
"neural networks","closed-ended finite answer set non-binary non-visual","0.17","0.1","0.71","0.17","0.1","0.71","0.77","0.67","0.91"
"neural networks","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: confusion matrix
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"confusion matrix","closed-ended infinite answer set visual","0.09","0.05","0.61","0.09","0.05","0.61","0.75","0.67","0.86"
"confusion matrix","closed-ended infinite answer set non-visual","0.12","0.07","0.75","0.1","0.06","0.71","0.76","0.66","0.89"
"confusion matrix","closed-ended finite answer set binary visual","0.07","0.04","0.67","0.07","0.04","0.67","0.75","0.64","0.89"
"confusion matrix","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"confusion matrix","closed-ended finite answer set non-binary visual","0.13","0.08","0.83","0.13","0.08","0.83","0.75","0.65","0.88"
"confusion matrix","closed-ended finite answer set non-binary non-visual","0.15","0.09","0.72","0.15","0.09","0.72","0.76","0.67","0.88"
"confusion matrix","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"graph","closed-ended infinite answer set visual","0.12","0.07","0.5","0.12","0.07","0.5","0.77","0.69","0.87"
"graph","closed-ended infinite answer set non-visual","0.07","0.04","0.33","0.07","0.04","0.33","0.78","0.69","0.89"
"graph","closed-ended finite answer set binary visual","0.07","0.04","0.67","0.07","0.04","0.67","0.75","0.64","0.89"
"graph","closed-ended finite answer set binary non-visual","0.09","0.05","0.83","0.09","0.05","0.83","0.75","0.64","0.89"
"graph","closed-ended finite answer set non-binary visual","0.07","0.04","0.42","0.07","0.04","0.42","0.76","0.66","0.88"
"graph","closed-ended finite answer set non-binary non-visual","0.12","0.07","0.62","0.12","0.07","0.62","0.75","0.67","0.87"
"graph","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: bar chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"bar chart","closed-ended infinite answer set visual","0.15","0.09","0.83","0.15","0.09","0.83","0.77","0.67","0.9"
"bar chart","closed-ended infinite answer set non-visual","0.1","0.05","0.64","0.1","0.05","0.64","0.77","0.68","0.89"
"bar chart","closed-ended finite answer set binary visual","0.06","0.03","0.57","0.06","0.03","0.57","0.75","0.64","0.89"
"bar chart","closed-ended finite answer set binary non-visual","0.1","0.05","0.86","0.1","0.05","0.86","0.75","0.64","0.89"
"bar chart","closed-ended finite answer set non-binary visual","0.1","0.06","0.67","0.1","0.06","0.67","0.75","0.65","0.88"
"bar chart","closed-ended finite answer set non-binary non-visual","0.06","0.03","0.48","0.06","0.03","0.48","0.75","0.65","0.88"
"bar chart","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Histogram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Histogram","closed-ended infinite answer set visual","0.12","0.07","1.0","0.12","0.07","1.0","0.76","0.65","0.9"
"Histogram","closed-ended infinite answer set non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.74","0.66","0.83"
"Histogram","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Histogram","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Histogram","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Histogram","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Histogram","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: venn diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"venn diagram","closed-ended infinite answer set visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"venn diagram","closed-ended infinite answer set non-visual","0.12","0.06","1.0","0.12","0.06","1.0","0.75","0.65","0.89"
"venn diagram","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"venn diagram","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"venn diagram","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"venn diagram","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"venn diagram","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Neural Networks
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Neural Networks","closed-ended infinite answer set visual","0.11","0.06","1.0","0.11","0.06","1.0","0.74","0.64","0.88"
"Neural Networks","closed-ended infinite answer set non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Neural Networks","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Neural Networks","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Neural Networks","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
